id,text_snippet,predicted_label_id,prediction_name
0,2069316...,1,Gastroenterology
1,6967959...,1,Gastroenterology
2,3492721...,1,Gastroenterology
3,8388738...,4,Dermatology
4,6234238...,7,Endocrinology
5,3874752...,12,Otolaryngology
6,13253027...,1,Gastroenterology
7,8512090...,12,Otolaryngology
8,3967251...,12,Otolaryngology
9,3262191...,14,Gynecology
10,1052303...,1,Gastroenterology
11,2419145...,12,Otolaryngology
12,12250182...,7,Endocrinology
13,15391307...,1,Gastroenterology
14,13339820...,7,Endocrinology
15,2731895...,12,Otolaryngology
16,13860058...,12,Otolaryngology
17,13962623...,7,Endocrinology
18,15000522...,1,Gastroenterology
19,6642105...,5,Orthopedics
20,7525370...,7,Endocrinology
21,6425169...,12,Otolaryngology
22,12171387...,1,Gastroenterology
23,7770253...,1,Gastroenterology
24,3245452...,12,Otolaryngology
25,11038275...,12,Otolaryngology
26,1081195...,7,Endocrinology
27,1049823...,1,Gastroenterology
28,4462378...,12,Otolaryngology
29,15725373...,7,Endocrinology
30,15538664...,5,Orthopedics
31,8921471...,12,Otolaryngology
32,7595636...,16,Rheumatology
33,16063470...,5,Orthopedics
34,7550821...,1,Gastroenterology
35,1877756...,5,Orthopedics
36,12164703...,1,Gastroenterology
37,5447636...,1,Gastroenterology
38,15995653...,5,Orthopedics
39,3357306...,12,Otolaryngology
40,8969613...,16,Rheumatology
41,3433289...,12,Otolaryngology
42,1673357...,1,Gastroenterology
43,11208971...,14,Gynecology
44,4246550...,12,Otolaryngology
45,6132333...,7,Endocrinology
46,3900234...,14,Gynecology
47,10383446...,7,Endocrinology
48,13395366...,16,Rheumatology
49,6588826...,1,Gastroenterology
50,6658395...,12,Otolaryngology
51,12479069...,1,Gastroenterology
52,13042040...,1,Gastroenterology
53,4859396...,1,Gastroenterology
54,310569...,12,Otolaryngology
55,10750471...,1,Gastroenterology
56,9651963...,1,Gastroenterology
57,4791363...,1,Gastroenterology
58,3268582...,1,Gastroenterology
59,2164214...,1,Gastroenterology
60,3106114...,1,Gastroenterology
61,3498940...,12,Otolaryngology
62,2624976...,1,Gastroenterology
63,13947286...,12,Otolaryngology
64,8941177...,12,Otolaryngology
65,5372006...,7,Endocrinology
66,12997615...,5,Orthopedics
67,7027201...,1,Gastroenterology
68,2776729...,1,Gastroenterology
69,8907055...,12,Otolaryngology
70,163259...,14,Gynecology
71,11661569...,7,Endocrinology
72,9247869...,1,Gastroenterology
73,11506154...,1,Gastroenterology
74,1632724...,1,Gastroenterology
75,13539380...,12,Otolaryngology
76,5312491...,1,Gastroenterology
77,4867137...,1,Gastroenterology
78,12221526...,1,Gastroenterology
79,7135742...,12,Otolaryngology
80,9904605...,4,Dermatology
81,3802358...,12,Otolaryngology
82,875554...,12,Otolaryngology
83,13704390...,12,Otolaryngology
84,4337701...,1,Gastroenterology
85,8466503...,14,Gynecology
86,990227...,1,Gastroenterology
87,9534982...,7,Endocrinology
88,15557858...,5,Orthopedics
89,14148854...,5,Orthopedics
90,6469947...,1,Gastroenterology
91,773019...,12,Otolaryngology
92,6112916...,1,Gastroenterology
93,15214364...,5,Orthopedics
94,5804201...,12,Otolaryngology
95,2572693...,5,Orthopedics
96,15796836...,1,Gastroenterology
97,15285106...,1,Gastroenterology
98,12045601...,12,Otolaryngology
99,3404820...,7,Endocrinology
100,15641244...,5,Orthopedics
101,1966671...,1,Gastroenterology
102,2149134...,1,Gastroenterology
103,3516356...,12,Otolaryngology
104,4815784...,1,Gastroenterology
105,16075286...,5,Orthopedics
106,14997539...,1,Gastroenterology
107,3089983...,1,Gastroenterology
108,10538271...,12,Otolaryngology
109,11832182...,7,Endocrinology
110,14922059...,1,Gastroenterology
111,15497705...,5,Orthopedics
112,1680265...,1,Gastroenterology
113,3659381...,14,Gynecology
114,6454388...,12,Otolaryngology
115,15354594...,7,Endocrinology
116,2526879...,12,Otolaryngology
117,3111267...,1,Gastroenterology
118,5877165...,12,Otolaryngology
119,7387879...,12,Otolaryngology
120,13007814...,1,Gastroenterology
121,5532108...,12,Otolaryngology
122,110378...,12,Otolaryngology
123,15632893...,1,Gastroenterology
124,12025435...,7,Endocrinology
125,15840766...,5,Orthopedics
126,9085505...,16,Rheumatology
127,8945983...,12,Otolaryngology
128,1352358...,12,Otolaryngology
129,2759442...,5,Orthopedics
130,4585677...,1,Gastroenterology
131,8952804...,5,Orthopedics
132,12840333...,1,Gastroenterology
133,5191104...,4,Dermatology
134,10881459...,1,Gastroenterology
135,13113055...,12,Otolaryngology
136,8552078...,12,Otolaryngology
137,7038711...,12,Otolaryngology
138,10920357...,7,Endocrinology
139,9955832...,5,Orthopedics
140,1238665...,1,Gastroenterology
141,412897...,1,Gastroenterology
142,3758901...,12,Otolaryngology
143,9583125...,1,Gastroenterology
144,5047880...,1,Gastroenterology
145,4455864...,1,Gastroenterology
146,325595...,1,Gastroenterology
147,4020060...,1,Gastroenterology
148,2244823...,1,Gastroenterology
149,2979531...,14,Gynecology
150,8188545...,12,Otolaryngology
151,11206122...,1,Gastroenterology
152,5227343...,7,Endocrinology
153,12270054...,1,Gastroenterology
154,3170450...,1,Gastroenterology
155,1902772...,7,Endocrinology
156,4091566...,12,Otolaryngology
157,1154333...,1,Gastroenterology
158,8696912...,16,Rheumatology
159,12067275...,7,Endocrinology
160,14595666...,12,Otolaryngology
161,10857248...,7,Endocrinology
162,6180737...,12,Otolaryngology
163,7532997...,12,Otolaryngology
164,7240668...,12,Otolaryngology
165,87801...,1,Gastroenterology
166,6041985...,12,Otolaryngology
167,13454637...,17,Immunology
168,7966672...,7,Endocrinology
169,636882...,1,Gastroenterology
170,7992315...,12,Otolaryngology
171,7254495...,5,Orthopedics
172,3702840...,1,Gastroenterology
173,8247914...,1,Gastroenterology
174,5559580...,12,Otolaryngology
175,7154511...,7,Endocrinology
176,6165188...,12,Otolaryngology
177,5845665...,12,Otolaryngology
178,11255634...,16,Rheumatology
179,12618930...,1,Gastroenterology
180,15306425...,1,Gastroenterology
181,14027950...,12,Otolaryngology
182,8123438...,12,Otolaryngology
183,13211469...,7,Endocrinology
184,2870789...,1,Gastroenterology
185,636229...,12,Otolaryngology
186,9235823...,1,Gastroenterology
187,14622522...,7,Endocrinology
188,6804616...,1,Gastroenterology
189,11762612...,7,Endocrinology
190,4105698...,12,Otolaryngology
191,3556032...,1,Gastroenterology
192,12364058...,1,Gastroenterology
193,9596115...,5,Orthopedics
194,14630175...,14,Gynecology
195,1092829...,1,Gastroenterology
196,13211881...,1,Gastroenterology
197,999781...,1,Gastroenterology
198,6280149...,12,Otolaryngology
199,5439113...,1,Gastroenterology
200,11789262...,7,Endocrinology
201,329240...,1,Gastroenterology
202,3730603...,1,Gastroenterology
203,242751...,1,Gastroenterology
204,11745002...,7,Endocrinology
205,3934260...,12,Otolaryngology
206,11360258...,12,Otolaryngology
207,8232542...,7,Endocrinology
208,9659488...,5,Orthopedics
209,9582753...,1,Gastroenterology
210,4906799...,12,Otolaryngology
211,13036683...,7,Endocrinology
212,9648795...,12,Otolaryngology
213,5046137...,1,Gastroenterology
214,7049136...,1,Gastroenterology
215,3427620...,7,Endocrinology
216,606192...,7,Endocrinology
217,3342267...,1,Gastroenterology
218,12396986...,1,Gastroenterology
219,7087977...,1,Gastroenterology
220,4565225...,12,Otolaryngology
221,5073563...,1,Gastroenterology
222,10593007...,12,Otolaryngology
223,14131211...,1,Gastroenterology
224,3897075...,1,Gastroenterology
225,5349906...,1,Gastroenterology
226,2921844...,1,Gastroenterology
227,10912565...,7,Endocrinology
228,13627735...,16,Rheumatology
229,7218659...,12,Otolaryngology
230,15736523...,5,Orthopedics
231,14264305...,12,Otolaryngology
232,10289571...,12,Otolaryngology
233,1133514...,1,Gastroenterology
234,12752843...,1,Gastroenterology
235,3004188...,1,Gastroenterology
236,2850014...,1,Gastroenterology
237,9010069...,7,Endocrinology
238,12645355...,5,Orthopedics
239,5154176...,7,Endocrinology
240,7811135...,12,Otolaryngology
241,4840761...,1,Gastroenterology
242,10608017...,12,Otolaryngology
243,7073506...,12,Otolaryngology
244,2957826...,1,Gastroenterology
245,13638893...,16,Rheumatology
246,84390...,14,Gynecology
247,3123046...,1,Gastroenterology
248,10911451...,7,Endocrinology
249,6160265...,12,Otolaryngology
250,4590197...,12,Otolaryngology
251,10499202...,7,Endocrinology
252,5776031...,12,Otolaryngology
253,2963628...,12,Otolaryngology
254,2732857...,12,Otolaryngology
255,975845...,1,Gastroenterology
256,8175430...,12,Otolaryngology
257,5904589...,12,Otolaryngology
258,429922...,1,Gastroenterology
259,1668924...,1,Gastroenterology
260,11442437...,1,Gastroenterology
261,9618341...,14,Gynecology
262,11100075...,8,Nephrology
263,2027129...,1,Gastroenterology
264,8743354...,5,Orthopedics
265,4422029...,1,Gastroenterology
266,10564543...,12,Otolaryngology
267,11568208...,7,Endocrinology
268,7186034...,5,Orthopedics
269,3219762...,1,Gastroenterology
270,13127177...,7,Endocrinology
271,8945688...,12,Otolaryngology
272,1469444...,1,Gastroenterology
273,9614639...,1,Gastroenterology
274,5468464...,5,Orthopedics
275,5816745...,12,Otolaryngology
276,7595906...,12,Otolaryngology
277,1872150...,1,Gastroenterology
278,214527...,1,Gastroenterology
279,1369202...,7,Endocrinology
280,2791775...,12,Otolaryngology
281,6590662...,12,Otolaryngology
282,5304624...,1,Gastroenterology
283,1114939...,1,Gastroenterology
284,3817726...,1,Gastroenterology
285,9112758...,12,Otolaryngology
286,6513592...,12,Otolaryngology
287,14770136...,1,Gastroenterology
288,1327032...,1,Gastroenterology
289,4402610...,12,Otolaryngology
290,3593005...,12,Otolaryngology
291,3526362...,1,Gastroenterology
292,11403423...,1,Gastroenterology
293,2751923...,5,Orthopedics
294,9206049...,1,Gastroenterology
295,10132512...,7,Endocrinology
296,15920393...,1,Gastroenterology
297,1414492...,1,Gastroenterology
298,5068195...,16,Rheumatology
299,15642885...,12,Otolaryngology
300,9751884...,5,Orthopedics
301,12702865...,12,Otolaryngology
302,3479299...,12,Otolaryngology
303,6144887...,1,Gastroenterology
304,1701360...,12,Otolaryngology
305,3447915...,12,Otolaryngology
306,4268440...,12,Otolaryngology
307,2492002...,7,Endocrinology
308,7827197...,1,Gastroenterology
309,15358107...,1,Gastroenterology
310,6811196...,1,Gastroenterology
311,9516349...,12,Otolaryngology
312,6622051...,5,Orthopedics
313,894598...,12,Otolaryngology
314,15527388...,5,Orthopedics
315,16101560...,12,Otolaryngology
316,8481444...,12,Otolaryngology
317,14530119...,7,Endocrinology
318,1495871...,1,Gastroenterology
319,12769909...,7,Endocrinology
320,2478174...,12,Otolaryngology
321,3896852...,1,Gastroenterology
322,8688938...,2,Cardiology
323,13180570...,12,Otolaryngology
324,3156929...,1,Gastroenterology
325,11753290...,1,Gastroenterology
326,6193910...,14,Gynecology
327,1559025...,1,Gastroenterology
328,13835653...,7,Endocrinology
329,6423905...,12,Otolaryngology
330,2454338...,1,Gastroenterology
331,106252...,1,Gastroenterology
332,41719...,1,Gastroenterology
333,12773719...,7,Endocrinology
334,9450352...,7,Endocrinology
335,1709087...,1,Gastroenterology
336,7043600...,12,Otolaryngology
337,913388...,12,Otolaryngology
338,108279...,7,Endocrinology
339,1532591...,1,Gastroenterology
340,11234139...,7,Endocrinology
341,9172371...,12,Otolaryngology
342,2635643...,12,Otolaryngology
343,5768634...,12,Otolaryngology
344,1086766...,5,Orthopedics
345,15476911...,1,Gastroenterology
346,9056623...,1,Gastroenterology
347,2290969...,12,Otolaryngology
348,2458941...,12,Otolaryngology
349,6165152...,7,Endocrinology
350,68296...,1,Gastroenterology
351,2146519...,1,Gastroenterology
352,4040674...,1,Gastroenterology
353,2074350...,12,Otolaryngology
354,308812...,1,Gastroenterology
355,9836015...,5,Orthopedics
356,1717693...,1,Gastroenterology
357,15861457...,1,Gastroenterology
358,13378938...,6,Oncology
359,2533836...,12,Otolaryngology
360,3691775...,1,Gastroenterology
361,649069...,12,Otolaryngology
362,1866265...,5,Orthopedics
363,6793240...,12,Otolaryngology
364,13285562...,7,Endocrinology
365,5927073...,12,Otolaryngology
366,6872255...,12,Otolaryngology
367,1681342...,1,Gastroenterology
368,3133983...,7,Endocrinology
369,4552086...,1,Gastroenterology
370,15834423...,1,Gastroenterology
371,3566258...,12,Otolaryngology
372,16081656...,12,Otolaryngology
373,15286577...,1,Gastroenterology
374,3081467...,1,Gastroenterology
375,3414863...,1,Gastroenterology
376,5914475...,12,Otolaryngology
377,1773876...,1,Gastroenterology
378,2257812...,12,Otolaryngology
379,2978425...,1,Gastroenterology
380,3384557...,12,Otolaryngology
381,15045642...,1,Gastroenterology
382,2010771...,1,Gastroenterology
383,715928...,12,Otolaryngology
384,10464108...,12,Otolaryngology
385,1910663...,7,Endocrinology
386,12259918...,1,Gastroenterology
387,5202636...,1,Gastroenterology
388,3438371...,12,Otolaryngology
389,6857271...,1,Gastroenterology
390,8200559...,12,Otolaryngology
391,6050552...,12,Otolaryngology
392,7676535...,1,Gastroenterology
393,10897576...,2,Cardiology
394,10010631...,7,Endocrinology
395,15314161...,1,Gastroenterology
396,2554179...,1,Gastroenterology
397,4446588...,1,Gastroenterology
398,15825387...,5,Orthopedics
399,5547244...,1,Gastroenterology
400,4823365...,7,Endocrinology
401,3967480...,12,Otolaryngology
402,13909705...,12,Otolaryngology
403,5182628...,12,Otolaryngology
404,1952909...,1,Gastroenterology
405,10535206...,7,Endocrinology
406,11028174...,7,Endocrinology
407,6643279...,12,Otolaryngology
408,8291368...,12,Otolaryngology
409,9257527...,1,Gastroenterology
410,15308850...,12,Otolaryngology
411,2301993...,7,Endocrinology
412,10124603...,7,Endocrinology
413,12241720...,7,Endocrinology
414,6411570...,12,Otolaryngology
415,14438695...,16,Rheumatology
416,7909787...,12,Otolaryngology
417,7572368...,12,Otolaryngology
418,1750605...,12,Otolaryngology
419,4540686...,1,Gastroenterology
420,9689080...,12,Otolaryngology
421,10876655...,5,Orthopedics
422,2526038...,12,Otolaryngology
423,10212861...,1,Gastroenterology
424,3234910...,1,Gastroenterology
425,7536209...,7,Endocrinology
426,1441675...,1,Gastroenterology
427,9639176...,12,Otolaryngology
428,13804126...,7,Endocrinology
429,7787833...,1,Gastroenterology
430,1940168...,1,Gastroenterology
431,4026595...,12,Otolaryngology
432,6457787...,12,Otolaryngology
433,6810834...,16,Rheumatology
434,8591262...,7,Endocrinology
435,5610291...,1,Gastroenterology
436,528341...,1,Gastroenterology
437,9140295...,12,Otolaryngology
438,9622303...,14,Gynecology
439,10880227...,5,Orthopedics
440,3548022...,1,Gastroenterology
441,9914343...,7,Endocrinology
442,13394462...,7,Endocrinology
443,1587629...,1,Gastroenterology
444,15207554...,4,Dermatology
445,11840586...,1,Gastroenterology
446,13993709...,7,Endocrinology
447,5980165...,12,Otolaryngology
448,2771863...,1,Gastroenterology
449,6994878...,5,Orthopedics
450,1509398...,7,Endocrinology
451,867104...,12,Otolaryngology
452,4399811...,1,Gastroenterology
453,4986305...,12,Otolaryngology
454,11011280...,1,Gastroenterology
455,12697281...,12,Otolaryngology
456,12579773...,1,Gastroenterology
457,347812...,1,Gastroenterology
458,15850317...,1,Gastroenterology
459,3403034...,16,Rheumatology
460,15713929...,1,Gastroenterology
461,4837328...,12,Otolaryngology
462,3075626...,12,Otolaryngology
463,8796308...,12,Otolaryngology
464,3610916...,1,Gastroenterology
465,12637314...,1,Gastroenterology
466,5213151...,1,Gastroenterology
467,8469782...,5,Orthopedics
468,3818783...,1,Gastroenterology
469,6091105...,12,Otolaryngology
470,6561282...,12,Otolaryngology
471,7997332...,12,Otolaryngology
472,2564691...,1,Gastroenterology
473,825029...,12,Otolaryngology
474,7768513...,1,Gastroenterology
475,15861862...,1,Gastroenterology
476,14763434...,1,Gastroenterology
477,7163722...,7,Endocrinology
478,9962873...,5,Orthopedics
479,14906777...,1,Gastroenterology
480,1581301...,1,Gastroenterology
481,8901949...,5,Orthopedics
482,758189...,12,Otolaryngology
483,15515809...,12,Otolaryngology
484,6167892...,1,Gastroenterology
485,4773055...,12,Otolaryngology
486,4286495...,5,Orthopedics
487,4166813...,1,Gastroenterology
488,5022878...,12,Otolaryngology
489,4160880...,12,Otolaryngology
490,5040827...,1,Gastroenterology
491,4592662...,1,Gastroenterology
492,15546761...,1,Gastroenterology
493,11048499...,1,Gastroenterology
494,3669470...,12,Otolaryngology
495,5801306...,12,Otolaryngology
496,12416435...,5,Orthopedics
497,15348885...,5,Orthopedics
498,9047909...,12,Otolaryngology
499,7317023...,1,Gastroenterology
500,8129174...,14,Gynecology
501,6988256...,12,Otolaryngology
502,13015978...,7,Endocrinology
503,7632244...,1,Gastroenterology
504,3608039...,12,Otolaryngology
505,15039988...,12,Otolaryngology
506,1515179...,12,Otolaryngology
507,14135163...,1,Gastroenterology
508,2096654...,12,Otolaryngology
509,6060392...,7,Endocrinology
510,14740080...,1,Gastroenterology
511,1760495...,12,Otolaryngology
512,1758932...,12,Otolaryngology
513,2899407...,1,Gastroenterology
514,10141608...,12,Otolaryngology
515,6598575...,1,Gastroenterology
516,14756863...,1,Gastroenterology
517,9299681...,14,Gynecology
518,13136948...,1,Gastroenterology
519,5001619...,1,Gastroenterology
520,10083319...,7,Endocrinology
521,4165831...,1,Gastroenterology
522,401513...,7,Endocrinology
523,2491808...,12,Otolaryngology
524,6725960...,12,Otolaryngology
525,9548928...,12,Otolaryngology
526,14863288...,12,Otolaryngology
527,5960441...,12,Otolaryngology
528,9320475...,12,Otolaryngology
529,2746386...,17,Immunology
530,10953455...,5,Orthopedics
531,577843...,1,Gastroenterology
532,5220246...,1,Gastroenterology
533,8016674...,9,Hepatology
534,5316288...,12,Otolaryngology
535,15251831...,1,Gastroenterology
536,1444952...,1,Gastroenterology
537,1374080...,12,Otolaryngology
538,1793439...,1,Gastroenterology
539,5978774...,1,Gastroenterology
540,12938834...,16,Rheumatology
541,2403566...,1,Gastroenterology
542,9408281...,12,Otolaryngology
543,4028590...,1,Gastroenterology
544,3018810...,12,Otolaryngology
545,3273743...,1,Gastroenterology
546,11199483...,9,Hepatology
547,5635609...,12,Otolaryngology
548,414151...,1,Gastroenterology
549,8471346...,1,Gastroenterology
550,10740665...,5,Orthopedics
551,4990321...,12,Otolaryngology
552,11643180...,1,Gastroenterology
553,6531012...,7,Endocrinology
554,199039...,1,Gastroenterology
555,4192360...,12,Otolaryngology
556,10568224...,5,Orthopedics
557,14102668...,7,Endocrinology
558,3130625...,7,Endocrinology
559,2308837...,12,Otolaryngology
560,10823180...,1,Gastroenterology
561,12977028...,12,Otolaryngology
562,14381957...,1,Gastroenterology
563,2499506...,12,Otolaryngology
564,2473269...,12,Otolaryngology
565,12213104...,1,Gastroenterology
566,4692310...,12,Otolaryngology
567,2147207...,7,Endocrinology
568,6867496...,1,Gastroenterology
569,13813332...,7,Endocrinology
570,5030882...,1,Gastroenterology
571,6885549...,12,Otolaryngology
572,2495918...,1,Gastroenterology
573,7809549...,12,Otolaryngology
574,4888250...,12,Otolaryngology
575,10749805...,5,Orthopedics
576,12525591...,1,Gastroenterology
577,10114808...,12,Otolaryngology
578,6012915...,12,Otolaryngology
579,13490996...,12,Otolaryngology
580,5029989...,12,Otolaryngology
581,8982310...,12,Otolaryngology
582,3989317...,1,Gastroenterology
583,1104534...,1,Gastroenterology
584,9781291...,7,Endocrinology
585,627400...,1,Gastroenterology
586,13548014...,5,Orthopedics
587,10311362...,7,Endocrinology
588,5790203...,7,Endocrinology
589,15039392...,1,Gastroenterology
590,31801...,1,Gastroenterology
591,14122172...,7,Endocrinology
592,6887436...,5,Orthopedics
593,4066848...,1,Gastroenterology
594,4712511...,1,Gastroenterology
595,4196831...,1,Gastroenterology
596,11884741...,1,Gastroenterology
597,5492663...,5,Orthopedics
598,12508295...,12,Otolaryngology
599,15143785...,1,Gastroenterology
600,9572698...,12,Otolaryngology
601,2651718...,12,Otolaryngology
602,14070836...,12,Otolaryngology
603,8790375...,12,Otolaryngology
604,10382074...,7,Endocrinology
605,12167916...,1,Gastroenterology
606,13886073...,1,Gastroenterology
607,15570636...,1,Gastroenterology
608,6422861...,1,Gastroenterology
609,4546763...,1,Gastroenterology
610,3031051...,1,Gastroenterology
611,4334582...,1,Gastroenterology
612,15662382...,1,Gastroenterology
613,2184030...,16,Rheumatology
614,3398563...,1,Gastroenterology
615,5093721...,1,Gastroenterology
616,14108020...,1,Gastroenterology
617,372982...,1,Gastroenterology
618,12789309...,12,Otolaryngology
619,732316...,1,Gastroenterology
620,15462610...,7,Endocrinology
621,137585...,12,Otolaryngology
622,3127736...,12,Otolaryngology
623,16090215...,14,Gynecology
624,3450519...,12,Otolaryngology
625,11593895...,5,Orthopedics
626,479982...,1,Gastroenterology
627,4510657...,12,Otolaryngology
628,3271112...,1,Gastroenterology
629,14946457...,1,Gastroenterology
630,5608933...,16,Rheumatology
631,948253...,1,Gastroenterology
632,535093...,1,Gastroenterology
633,4706416...,1,Gastroenterology
634,610426...,14,Gynecology
635,14367745...,12,Otolaryngology
636,4096952...,5,Orthopedics
637,9693671...,1,Gastroenterology
638,2166182...,1,Gastroenterology
639,13250523...,7,Endocrinology
640,8200433...,12,Otolaryngology
641,15380536...,1,Gastroenterology
642,7496594...,5,Orthopedics
643,6436192...,7,Endocrinology
644,12937287...,12,Otolaryngology
645,4884246...,1,Gastroenterology
646,3831568...,12,Otolaryngology
647,5573634...,12,Otolaryngology
648,7666296...,1,Gastroenterology
649,5362192...,1,Gastroenterology
650,12000252...,12,Otolaryngology
651,15608565...,1,Gastroenterology
652,5321373...,7,Endocrinology
653,7602443...,12,Otolaryngology
654,10265074...,5,Orthopedics
655,4259376...,1,Gastroenterology
656,5057141...,14,Gynecology
657,4367487...,1,Gastroenterology
658,13049413...,1,Gastroenterology
659,4639604...,1,Gastroenterology
660,2644866...,5,Orthopedics
661,3887625...,1,Gastroenterology
662,3989997...,1,Gastroenterology
663,11374890...,1,Gastroenterology
664,8580955...,12,Otolaryngology
665,14341768...,12,Otolaryngology
666,2159302...,1,Gastroenterology
667,14186781...,12,Otolaryngology
668,15603445...,12,Otolaryngology
669,253133...,1,Gastroenterology
670,8369427...,1,Gastroenterology
671,583518...,12,Otolaryngology
672,637165...,12,Otolaryngology
673,5814568...,12,Otolaryngology
674,1378931...,12,Otolaryngology
675,12388727...,1,Gastroenterology
676,2361219...,1,Gastroenterology
